день,группа,предмет,сложность,температура,осадки,тип погоды,количество пар,номера пар,успеваемость,процент посещаемости
Понедельник,3,Безопасность сетей,5,2,False,ветер,2,"[1, 2]",20,40
Вторник,3,Техническое обслуживание компьютерных систем,3,-3,True,град,4,"[1, 3, 4, 5]",43,52
Понедельник,5,Основы сетевых технологий,4,-4,False,пасмурно,4,"[1, 2, 4, 5]",23,46
Понедельник,11,Основы туризма и гостеприимства,3,31,False,пасмурно,5,"[1, 2, 3, 4, 5]",48,72
Понедельник,11,Естествознание,3,3,False,ветер,3,"[3, 4, 5]",72,86
Вторник,3,Основы информационных технологий,4,20,False,туман,3,"[2, 4, 5]",20,42
Четверг,10,Обществознание,2,4,False,туман,2,"[1, 5]",78,89
Среда,12,Информационная безопасность,5,14,True,град,3,"[1, 2, 3]",20,30
Вторник,10,Основы сетевых технологий,4,34,False,солнечно,2,"[1, 3]",20,30
Понедельник,16,Основы сетевых технологий,4,18,False,туман,3,"[1, 3, 4]",31,59
Пятница,15,Проектно-исследовательская деятельность,4,6,False,ветер,2,"[2, 4]",34,55
Суббота,9,Математика,5,20,False,пасмурно,3,"[1, 3, 5]",27,49
Четверг,13,Администрирование систем защиты,5,15,False,пасмурно,4,"[1, 2, 3, 5]",21,64
Понедельник,12,Маркетинг и менеджмент в сфере услуг,3,-4,True,снег,3,"[2, 3, 5]",32,53
Вторник,9,Безопасность операционных систем и сетей,5,19,False,ветер,2,"[1, 2]",25,55
Суббота,16,Безопасность операционных систем и сетей,5,7,False,солнечно,1,[5],20,46
Среда,3,Математические основы информатики,4,16,False,пасмурно,2,"[2, 3]",20,50
Вторник,1,Прикладное программирование,5,9,False,солнечно,4,"[1, 3, 4, 5]",26,53
Четверг,2,Разработка программного обеспечения,5,35,False,туман,2,"[2, 4]",20,50
Вторник,1,Базы данных,4,27,False,туман,3,"[2, 4, 5]",31,70
Вторник,14,Маркетинг и менеджмент в сфере услуг,3,31,False,пасмурно,2,"[1, 4]",43,66
Понедельник,1,Русский язык,3,21,False,пасмурно,4,"[1, 2, 4, 5]",62,86
Понедельник,7,Безопасность операционных систем и сетей,5,-4,False,солнечно,3,"[3, 4, 5]",20,42
Пятница,2,Методы и средства защиты информации,5,22,False,туман,3,"[2, 3, 4]",32,64
Понедельник,7,Эксплуатация компьютерных сетей,4,6,False,туман,2,"[2, 3]",20,51
Суббота,3,Основы сетевых технологий,4,34,True,снег,3,"[3, 4, 5]",20,30
Среда,10,Основы туризма и гостеприимства,3,19,False,солнечно,2,"[4, 5]",67,77
Четверг,7,Естествознание,3,7,True,снег,2,"[3, 5]",46,64
Пятница,9,Русский язык,3,19,False,солнечно,2,"[1, 2]",74,90
Понедельник,2,Математика,5,29,False,туман,4,"[1, 2, 3, 4]",21,58
Четверг,15,Основы туризма и гостеприимства,3,-2,False,пасмурно,5,"[1, 2, 3, 4, 5]",49,78
Вторник,10,Литература,3,0,False,ветер,3,"[1, 4, 5]",56,75
Среда,11,Администрирование систем защиты,5,5,False,туман,5,"[1, 2, 3, 4, 5]",22,59
Четверг,16,Администрирование систем защиты,5,-1,False,ветер,5,"[1, 2, 3, 4, 5]",20,41
Четверг,10,Математика,5,35,False,туман,5,"[1, 2, 3, 4, 5]",20,37
Понедельник,7,Маркетинг и менеджмент в сфере услуг,3,25,False,пасмурно,5,"[1, 2, 3, 4, 5]",68,90
Понедельник,10,Литература,3,31,False,пасмурно,2,"[2, 5]",55,75
Пятница,6,Математика,5,35,False,туман,3,"[1, 2, 3]",28,52
Среда,4,Проектирование информационных систем,4,1,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Среда,12,Обществознание,2,16,False,пасмурно,2,"[1, 5]",57,83
Вторник,15,Литература,3,9,False,пасмурно,3,"[1, 2, 5]",59,81
Суббота,16,Физика,4,11,False,ветер,1,[4],24,49
Четверг,6,Физика,4,10,True,дождь,3,"[3, 4, 5]",20,33
Четверг,6,Информатика,5,5,False,пасмурно,4,"[1, 2, 4, 5]",23,54
Среда,13,Базы данных,4,13,True,дождь,2,"[2, 5]",20,44
Понедельник,1,Администрирование систем защиты,5,19,False,солнечно,2,"[1, 5]",28,59
Суббота,3,Проектно-исследовательская деятельность,4,2,False,солнечно,1,[1],20,38
Пятница,11,Информатика,5,31,False,пасмурно,2,"[4, 5]",20,37
Понедельник,3,Литература,3,-3,True,снег,2,"[1, 3]",55,62
Вторник,10,Естествознание,3,6,True,дождь,4,"[2, 3, 4, 5]",56,64
Вторник,15,Физика,4,14,True,дождь,3,"[1, 4, 5]",20,33
Суббота,2,Тестирование программных продуктов,4,18,True,дождь,3,"[1, 2, 3]",20,30
Среда,4,Проектирование информационных систем,4,35,True,снег,5,"[1, 2, 3, 4, 5]",20,38
Четверг,16,Тестирование программных продуктов,4,-3,False,пасмурно,3,"[2, 3, 4]",31,63
Суббота,10,Криптография,5,23,False,туман,1,[2],20,32
Среда,4,Техническое обслуживание компьютерных систем,3,17,False,туман,2,"[3, 5]",58,75
Суббота,4,Организация обслуживания в гостиницах,3,25,True,снег,2,"[2, 3]",36,44
Суббота,2,Математика,5,24,True,дождь,2,"[1, 5]",20,38
Суббота,11,Информатика,5,24,False,солнечно,3,"[1, 2, 4]",22,47
Суббота,3,Методы и средства защиты информации,5,13,False,пасмурно,2,"[3, 4]",32,67
Среда,8,Эксплуатация компьютерных сетей,4,-4,False,пасмурно,2,"[1, 4]",20,44
Понедельник,13,Тестирование программных продуктов,4,4,False,ветер,2,"[2, 5]",20,59
Суббота,10,Методы и средства защиты информации,5,-3,False,туман,3,"[1, 2, 3]",27,67
Суббота,16,Основы сетевых технологий,4,35,False,солнечно,2,"[1, 5]",20,30
Понедельник,7,Основы туризма и гостеприимства,3,23,False,пасмурно,5,"[1, 2, 3, 4, 5]",54,79
Среда,9,Информатика,5,21,False,туман,3,"[2, 3, 5]",20,47
Четверг,15,Безопасность операционных систем и сетей,5,12,False,туман,5,"[1, 2, 3, 4, 5]",27,61
Понедельник,3,Основы туризма и гостеприимства,3,11,True,снег,5,"[1, 2, 3, 4, 5]",45,61
Пятница,11,Литература,3,28,False,солнечно,4,"[1, 3, 4, 5]",46,71
Вторник,6,Безопасность сетей,5,3,False,туман,5,"[1, 2, 3, 4, 5]",23,63
Понедельник,11,Операционные системы,4,-2,False,солнечно,3,"[1, 2, 3]",35,69
Среда,9,Математика,5,-4,False,туман,2,"[1, 2]",24,69
Вторник,1,Криптография,5,25,True,снег,5,"[1, 2, 3, 4, 5]",20,34
Среда,2,Системное администрирование,4,4,False,ветер,3,"[2, 3, 4]",25,61
Понедельник,9,Естествознание,3,4,True,снег,4,"[1, 2, 3, 4]",42,57
Понедельник,9,Системное администрирование,4,5,False,пасмурно,3,"[1, 3, 5]",39,70
Среда,4,Организация обслуживания в гостиницах,3,33,False,туман,4,"[1, 2, 4, 5]",40,61
Четверг,7,Основы программирования,5,26,False,ветер,5,"[1, 2, 3, 4, 5]",20,53
Пятница,11,Геометрия,4,5,False,туман,3,"[2, 3, 5]",32,62
Понедельник,3,Математические основы информатики,4,32,True,град,3,"[2, 4, 5]",20,30
Пятница,11,Естествознание,3,-5,False,солнечно,5,"[1, 2, 3, 4, 5]",57,76
Вторник,5,Базы данных,4,-2,False,пасмурно,4,"[1, 2, 3, 5]",25,64
Четверг,12,Системное администрирование,4,18,True,град,5,"[1, 2, 3, 4, 5]",20,30
Пятница,3,Операционные системы,4,9,False,туман,3,"[2, 3, 4]",26,62
Среда,12,Методы и средства защиты информации,5,21,False,солнечно,5,"[1, 2, 3, 4, 5]",21,48
Вторник,10,Информационная безопасность,5,23,True,дождь,4,"[2, 3, 4, 5]",20,30
Понедельник,12,Геометрия,4,4,False,туман,2,"[2, 5]",28,65
Среда,3,Геометрия,4,16,True,град,5,"[1, 2, 3, 4, 5]",20,35
Вторник,4,Естествознание,3,3,False,туман,2,"[1, 3]",67,75
Пятница,8,Геометрия,4,4,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Пятница,6,Проектирование информационных систем,4,-2,False,пасмурно,4,"[1, 2, 3, 4]",32,68
Вторник,15,История,2,15,False,ветер,5,"[1, 2, 3, 4, 5]",73,84
Среда,14,Методы и средства защиты информации,5,20,True,снег,3,"[3, 4, 5]",20,35
Пятница,1,Математические основы информатики,4,33,True,град,2,"[2, 3]",20,41
Вторник,7,Администрирование систем защиты,5,8,True,снег,5,"[1, 2, 3, 4, 5]",22,50
Четверг,10,Эксплуатация компьютерных сетей,4,4,False,солнечно,5,"[1, 2, 3, 4, 5]",23,41
Вторник,5,История,2,33,False,туман,3,"[2, 3, 5]",48,69
Среда,5,Информационная безопасность,5,17,False,солнечно,2,"[1, 2]",40,73
Четверг,15,Проектирование информационных систем,4,19,True,дождь,3,"[2, 3, 5]",20,32
Среда,8,Проектно-исследовательская деятельность,4,3,False,солнечно,5,"[1, 2, 3, 4, 5]",25,70
Вторник,16,Естествознание,3,1,False,ветер,4,"[2, 3, 4, 5]",45,76
Пятница,6,Информационная безопасность,5,14,False,ветер,4,"[2, 3, 4, 5]",22,60
Среда,15,Проектно-исследовательская деятельность,4,22,True,град,3,"[1, 2, 3]",20,37
Понедельник,9,Информатика,5,-3,True,дождь,5,"[1, 2, 3, 4, 5]",20,32
Вторник,15,Администрирование систем защиты,5,6,False,туман,3,"[1, 3, 5]",20,44
Суббота,6,Организация обслуживания в гостиницах,3,12,True,дождь,1,[1],37,46
Понедельник,15,Обществознание,2,14,False,солнечно,2,"[2, 5]",51,85
Среда,1,Прикладное программирование,5,2,False,ветер,4,"[2, 3, 4, 5]",24,52
Четверг,7,Методы и средства защиты информации,5,12,False,туман,4,"[2, 3, 4, 5]",25,54
Вторник,8,Разработка программного обеспечения,5,0,False,пасмурно,4,"[1, 3, 4, 5]",20,50
Понедельник,1,Операционные системы,4,24,False,ветер,4,"[1, 2, 3, 4]",33,58
Вторник,2,Маркетинг и менеджмент в сфере услуг,3,0,True,дождь,4,"[1, 3, 4, 5]",60,70
Среда,4,Архитектура компьютеров,4,24,False,солнечно,5,"[1, 2, 3, 4, 5]",30,64
Среда,6,Техническое обслуживание компьютерных систем,3,0,False,туман,3,"[1, 2, 4]",56,79
Суббота,7,История,2,3,False,пасмурно,2,"[2, 5]",61,71
Вторник,9,Эксплуатация компьютерных сетей,4,31,True,снег,5,"[1, 2, 3, 4, 5]",20,36
Пятница,14,Системное администрирование,4,14,False,пасмурно,4,"[1, 3, 4, 5]",28,61
Пятница,10,История,2,-2,False,туман,4,"[1, 2, 3, 5]",57,86
Среда,3,Естествознание,3,8,True,дождь,4,"[2, 3, 4, 5]",39,66
Суббота,14,Разработка программного обеспечения,5,21,False,пасмурно,1,[3],30,50
Пятница,10,Математика,5,25,False,туман,3,"[1, 4, 5]",23,56
Четверг,2,Операционные системы,4,34,False,солнечно,4,"[1, 2, 3, 5]",20,35
Среда,16,Проектно-исследовательская деятельность,4,6,False,солнечно,4,"[2, 3, 4, 5]",35,70
Среда,12,Сетевые операционные системы,4,26,False,туман,3,"[3, 4, 5]",25,50
Среда,4,Конфигурирование и администрирование сетей,5,32,True,град,4,"[1, 2, 3, 4]",20,30
Пятница,11,Методы и средства защиты информации,5,-3,False,солнечно,4,"[1, 2, 4, 5]",20,59
Среда,11,Математика,5,7,False,солнечно,2,"[2, 4]",22,50
Среда,2,Проектно-исследовательская деятельность,4,16,False,солнечно,5,"[1, 2, 3, 4, 5]",20,42
Понедельник,2,Математические основы информатики,4,30,False,пасмурно,3,"[1, 2, 4]",34,56
Среда,15,Безопасность операционных систем и сетей,5,28,False,солнечно,5,"[1, 2, 3, 4, 5]",20,41
Понедельник,7,Геометрия,4,-1,False,ветер,3,"[1, 2, 3]",23,53
Вторник,9,Тестирование программных продуктов,4,30,True,дождь,4,"[1, 2, 3, 5]",20,47
Понедельник,1,Администрирование систем защиты,5,18,True,снег,2,"[1, 4]",20,41
Суббота,7,Конфигурирование и администрирование сетей,5,26,True,град,1,[2],20,38
Пятница,4,Виртуализация и облачные технологии,4,11,True,град,5,"[1, 2, 3, 4, 5]",20,36
Среда,6,Основы сетевых технологий,4,17,True,град,2,"[1, 4]",20,30
Среда,10,Основы туризма и гостеприимства,3,30,False,ветер,5,"[1, 2, 3, 4, 5]",62,84
Понедельник,12,Виртуализация и облачные технологии,4,-2,True,снег,3,"[1, 3, 4]",20,40
Вторник,12,Маркетинг и менеджмент в сфере услуг,3,-4,True,град,4,"[1, 3, 4, 5]",41,66
Среда,14,Математические основы информатики,4,11,False,пасмурно,4,"[1, 2, 3, 5]",23,53
Понедельник,7,Русский язык,3,-1,False,туман,2,"[2, 4]",65,78
Четверг,9,Математические основы информатики,4,3,False,пасмурно,3,"[3, 4, 5]",39,68
Среда,5,Криптография,5,8,False,солнечно,2,"[1, 2]",20,53
Суббота,10,Проектно-исследовательская деятельность,4,17,False,солнечно,1,[5],20,46
Вторник,5,Информационная безопасность,5,26,False,солнечно,4,"[1, 3, 4, 5]",36,71
Четверг,1,Основы программирования,5,20,True,град,5,"[1, 2, 3, 4, 5]",20,34
Четверг,15,Геометрия,4,-1,False,пасмурно,2,"[1, 2]",36,71
Среда,13,Математика,5,35,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,46
Пятница,5,Криптография,5,12,True,град,3,"[1, 2, 3]",20,35
Понедельник,15,Операционные системы,4,20,False,солнечно,4,"[1, 2, 3, 4]",33,69
Среда,11,Методы и средства защиты информации,5,13,False,солнечно,2,"[3, 5]",36,71
Понедельник,3,Сетевые операционные системы,4,4,False,ветер,2,"[3, 5]",26,61
Пятница,2,Русский язык,3,1,False,туман,4,"[1, 3, 4, 5]",57,72
Суббота,12,Базы данных,4,11,False,солнечно,1,[3],20,37
Вторник,1,История,2,8,False,туман,3,"[2, 3, 4]",69,82
Понедельник,13,Основы информационных технологий,4,16,False,пасмурно,3,"[2, 3, 5]",41,71
Четверг,13,Конфигурирование и администрирование сетей,5,32,True,дождь,3,"[1, 2, 4]",20,33
Пятница,9,Веб-технологии,4,19,False,ветер,4,"[1, 3, 4, 5]",25,61
Среда,6,Безопасность сетей,5,2,True,снег,4,"[1, 2, 3, 5]",26,52
Суббота,12,Литература,3,29,False,солнечно,3,"[3, 4, 5]",53,76
Четверг,9,Организация обслуживания в гостиницах,3,28,False,пасмурно,2,"[3, 5]",50,76
Суббота,2,Русский язык,3,32,True,град,2,"[1, 4]",32,37
Среда,8,Информационная безопасность,5,15,False,пасмурно,4,"[1, 2, 3, 5]",21,43
Понедельник,13,Методы и средства защиты информации,5,13,True,дождь,4,"[1, 2, 3, 4]",20,38
Суббота,4,Методы и средства защиты информации,5,24,True,град,1,[4],20,38
Суббота,2,Диагностика и ремонт оборудования,4,21,False,пасмурно,2,"[4, 5]",20,53
Суббота,11,Основы сетевых технологий,4,30,True,снег,2,"[1, 2]",20,30
Четверг,5,Методы и средства защиты информации,5,33,False,пасмурно,4,"[2, 3, 4, 5]",28,55
Пятница,11,Организация обслуживания в гостиницах,3,7,False,пасмурно,5,"[1, 2, 3, 4, 5]",57,70
Среда,4,Конфигурирование и администрирование сетей,5,14,False,солнечно,3,"[1, 2, 4]",34,67
Понедельник,6,Геометрия,4,10,False,ветер,5,"[1, 2, 3, 4, 5]",31,56
Понедельник,1,Разработка программного обеспечения,5,3,False,туман,4,"[1, 2, 3, 5]",37,75
Четверг,1,Проектно-исследовательская деятельность,4,3,False,пасмурно,3,"[2, 3, 5]",31,61
Понедельник,7,Информатика,5,3,False,солнечно,4,"[2, 3, 4, 5]",20,45
Суббота,15,Эксплуатация компьютерных сетей,4,33,True,град,3,"[1, 3, 4]",20,30
Пятница,6,Литература,3,23,False,пасмурно,5,"[1, 2, 3, 4, 5]",63,81
Понедельник,15,Сетевые операционные системы,4,16,True,снег,5,"[1, 2, 3, 4, 5]",20,37
Среда,2,Организация обслуживания в гостиницах,3,3,True,град,2,"[2, 4]",47,56
Четверг,12,Основы программирования,5,32,False,ветер,4,"[1, 2, 3, 4]",33,59
Пятница,5,Проектно-исследовательская деятельность,4,30,False,ветер,4,"[1, 2, 3, 5]",36,75
Среда,6,Диагностика и ремонт оборудования,4,4,False,пасмурно,2,"[2, 3]",27,69
Четверг,7,Тестирование программных продуктов,4,30,False,туман,5,"[1, 2, 3, 4, 5]",33,70
Четверг,14,Основы информационных технологий,4,7,True,дождь,4,"[1, 2, 4, 5]",20,44
Пятница,16,Прикладное программирование,5,24,False,солнечно,2,"[1, 2]",20,46
Четверг,16,Основы сетевых технологий,4,21,True,дождь,2,"[3, 4]",21,50
Суббота,6,Русский язык,3,25,False,солнечно,3,"[1, 4, 5]",59,77
Среда,7,Методы и средства защиты информации,5,24,False,туман,2,"[1, 5]",20,45
Понедельник,8,Физика,4,9,False,пасмурно,2,"[3, 4]",20,50
Понедельник,10,Прикладное программирование,5,5,False,туман,4,"[1, 3, 4, 5]",29,59
Четверг,1,Проектирование информационных систем,4,7,False,ветер,5,"[1, 2, 3, 4, 5]",21,44
Суббота,9,Эксплуатация компьютерных сетей,4,0,True,снег,1,[1],20,30
Пятница,3,Обществознание,2,29,True,дождь,5,"[1, 2, 3, 4, 5]",46,59
Пятница,1,Основы сетевых технологий,4,20,False,пасмурно,4,"[1, 3, 4, 5]",31,48
Вторник,5,Веб-технологии,4,17,False,пасмурно,2,"[1, 2]",23,66
Понедельник,7,Геометрия,4,-5,False,пасмурно,2,"[1, 5]",33,69
Суббота,9,Русский язык,3,22,False,пасмурно,3,"[1, 3, 4]",67,78
Понедельник,16,Прикладное программирование,5,16,False,туман,3,"[2, 3, 4]",20,53
Понедельник,6,Эксплуатация компьютерных сетей,4,11,False,пасмурно,3,"[1, 2, 4]",39,66
Четверг,7,Естествознание,3,2,False,пасмурно,5,"[1, 2, 3, 4, 5]",55,85
Среда,1,Основы сетевых технологий,4,12,False,пасмурно,2,"[1, 3]",20,49
Вторник,7,Проектно-исследовательская деятельность,4,10,False,солнечно,2,"[2, 4]",30,75
Среда,12,Сетевые операционные системы,4,32,False,пасмурно,2,"[1, 3]",28,56
Пятница,7,Безопасность сетей,5,30,False,туман,4,"[1, 2, 3, 4]",28,68
Понедельник,11,История,2,15,True,град,5,"[1, 2, 3, 4, 5]",44,53
Вторник,7,Обществознание,2,20,False,солнечно,2,"[2, 3]",60,87
Среда,9,Конфигурирование и администрирование сетей,5,15,False,туман,5,"[1, 2, 3, 4, 5]",28,63
Понедельник,2,Основы программирования,5,10,False,солнечно,4,"[1, 2, 3, 4]",38,67
Среда,2,Маркетинг и менеджмент в сфере услуг,3,0,False,солнечно,4,"[1, 2, 3, 5]",59,74
Суббота,16,Русский язык,3,29,False,ветер,2,"[1, 4]",40,63
Вторник,11,Безопасность операционных систем и сетей,5,-1,True,снег,5,"[1, 2, 3, 4, 5]",20,41
Вторник,6,Математические основы информатики,4,2,False,туман,4,"[1, 2, 3, 5]",22,53
Суббота,7,Криптография,5,-5,True,снег,3,"[1, 3, 4]",20,31
Среда,8,Архитектура компьютеров,4,11,False,ветер,5,"[1, 2, 3, 4, 5]",20,42
Суббота,1,Системное администрирование,4,23,False,солнечно,1,[4],20,37
Среда,2,Организация обслуживания в гостиницах,3,-5,False,ветер,3,"[3, 4, 5]",54,88
Четверг,13,Прикладное программирование,5,14,True,снег,2,"[2, 4]",20,31
Вторник,2,Проектно-исследовательская деятельность,4,6,False,пасмурно,4,"[1, 2, 4, 5]",29,69
Понедельник,3,Операционные системы,4,23,False,туман,4,"[2, 3, 4, 5]",40,63
Вторник,14,Базы данных,4,13,False,туман,5,"[1, 2, 3, 4, 5]",31,59
Четверг,13,Основы туризма и гостеприимства,3,6,False,пасмурно,3,"[1, 2, 3]",59,73
Среда,9,Системное администрирование,4,5,False,пасмурно,3,"[2, 3, 4]",27,65
Вторник,9,Информатика,5,26,False,пасмурно,4,"[1, 3, 4, 5]",24,52
Среда,11,Техническое обслуживание компьютерных систем,3,29,False,пасмурно,2,"[1, 5]",54,78
Пятница,12,Естествознание,3,27,True,дождь,5,"[1, 2, 3, 4, 5]",41,65
Суббота,12,Маркетинг и менеджмент в сфере услуг,3,35,False,туман,1,[1],43,60
Среда,16,Информатика,5,4,False,туман,4,"[1, 3, 4, 5]",22,42
Четверг,10,Геометрия,4,20,True,град,4,"[1, 2, 3, 5]",26,45
Суббота,2,Базы данных,4,25,False,пасмурно,3,"[3, 4, 5]",20,40
Среда,8,Литература,3,11,False,туман,4,"[1, 3, 4, 5]",55,90
Четверг,5,Информационная безопасность,5,8,False,туман,3,"[1, 2, 4]",31,69
Суббота,5,Основы информационных технологий,4,9,False,пасмурно,1,[5],22,52
Суббота,11,Информационная безопасность,5,0,True,снег,1,[4],20,40
Пятница,11,Основы программирования,5,30,False,солнечно,2,"[3, 5]",21,58
Четверг,1,Методы и средства защиты информации,5,0,True,снег,4,"[1, 3, 4, 5]",24,48
Среда,9,Диагностика и ремонт оборудования,4,31,True,дождь,3,"[1, 3, 5]",20,30
Четверг,12,Диагностика и ремонт оборудования,4,-1,False,ветер,2,"[3, 4]",34,64
Среда,13,Эксплуатация компьютерных сетей,4,1,False,туман,2,"[3, 5]",21,58
Четверг,11,Организация обслуживания в гостиницах,3,35,False,туман,2,"[1, 2]",39,64
Четверг,1,История,2,-5,False,ветер,4,"[1, 2, 4, 5]",57,71
Понедельник,11,Математика,5,22,True,снег,4,"[1, 3, 4, 5]",20,30
Вторник,10,Архитектура компьютеров,4,21,True,снег,2,"[1, 5]",20,41
Четверг,3,Безопасность сетей,5,15,False,ветер,4,"[1, 3, 4, 5]",26,54
Четверг,14,Техническое обслуживание компьютерных систем,3,11,False,ветер,3,"[2, 4, 5]",51,79
Вторник,9,Конфигурирование и администрирование сетей,5,-2,False,туман,5,"[1, 2, 3, 4, 5]",20,47
Суббота,2,Физика,4,29,True,снег,1,[4],20,30
Вторник,2,Основы сетевых технологий,4,29,True,дождь,5,"[1, 2, 3, 4, 5]",20,33
Суббота,8,Обществознание,2,23,False,туман,3,"[1, 2, 3]",48,65
Четверг,6,Основы туризма и гостеприимства,3,-3,True,дождь,3,"[1, 3, 5]",44,56
Понедельник,7,Операционные системы,4,33,True,снег,3,"[2, 4, 5]",20,30
Среда,12,Проектно-исследовательская деятельность,4,22,False,ветер,2,"[2, 4]",20,57
Среда,4,Базы данных,4,32,False,солнечно,2,"[2, 5]",20,36
Четверг,9,Эксплуатация компьютерных сетей,4,9,False,пасмурно,5,"[1, 2, 3, 4, 5]",27,68
Суббота,1,Диагностика и ремонт оборудования,4,-1,True,снег,1,[5],20,39
Среда,2,Безопасность операционных систем и сетей,5,3,False,туман,4,"[1, 2, 3, 5]",39,72
Вторник,11,Русский язык,3,34,False,туман,3,"[2, 4, 5]",52,63
Вторник,4,Операционные системы,4,-2,False,ветер,4,"[1, 2, 3, 4]",25,52
Среда,7,Безопасность сетей,5,21,False,ветер,3,"[2, 4, 5]",26,50
Пятница,15,Проектно-исследовательская деятельность,4,19,False,солнечно,5,"[1, 2, 3, 4, 5]",43,72
Четверг,4,Основы программирования,5,20,True,град,3,"[1, 3, 5]",20,51
Четверг,5,Физика,4,19,False,ветер,3,"[2, 3, 4]",28,52
Понедельник,8,Информатика,5,14,False,пасмурно,5,"[1, 2, 3, 4, 5]",28,66
Среда,3,Проектно-исследовательская деятельность,4,14,False,туман,5,"[1, 2, 3, 4, 5]",22,48
Понедельник,6,История,2,21,False,ветер,5,"[1, 2, 3, 4, 5]",57,73
Суббота,16,Организация обслуживания в гостиницах,3,-4,True,дождь,3,"[1, 2, 5]",30,39
Понедельник,16,Виртуализация и облачные технологии,4,29,False,туман,2,"[2, 4]",30,72
Четверг,14,Русский язык,3,26,False,ветер,3,"[1, 2, 5]",70,84
Суббота,9,Математические основы информатики,4,8,False,пасмурно,1,[2],20,44
Вторник,2,Маркетинг и менеджмент в сфере услуг,3,8,False,туман,4,"[1, 2, 3, 4]",53,77
Понедельник,1,Литература,3,20,True,снег,4,"[1, 3, 4, 5]",61,70
Пятница,8,Базы данных,4,26,True,снег,4,"[1, 3, 4, 5]",20,30
Среда,4,Операционные системы,4,28,True,дождь,2,"[4, 5]",20,40
Четверг,2,Проектно-исследовательская деятельность,4,28,True,снег,5,"[1, 2, 3, 4, 5]",24,53
Понедельник,6,Эксплуатация компьютерных сетей,4,18,False,солнечно,2,"[3, 4]",30,56
Пятница,6,Физика,4,-4,True,снег,5,"[1, 2, 3, 4, 5]",20,47
Суббота,7,Физика,4,24,False,ветер,2,"[1, 5]",27,49
Пятница,11,Геометрия,4,13,True,дождь,4,"[2, 3, 4, 5]",20,43
Вторник,14,Маркетинг и менеджмент в сфере услуг,3,-3,False,солнечно,3,"[1, 4, 5]",63,85
Вторник,8,Проектно-исследовательская деятельность,4,26,False,туман,5,"[1, 2, 3, 4, 5]",20,47
Четверг,5,Тестирование программных продуктов,4,8,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,50
Вторник,10,Сетевые операционные системы,4,30,False,пасмурно,4,"[1, 2, 3, 4]",20,52
Суббота,5,Физика,4,30,False,пасмурно,1,[5],26,51
Среда,6,История,2,5,True,снег,5,"[1, 2, 3, 4, 5]",37,59
Четверг,10,Эксплуатация компьютерных сетей,4,17,False,солнечно,5,"[1, 2, 3, 4, 5]",24,56
Вторник,5,Естествознание,3,-5,True,град,2,"[3, 5]",51,58
Вторник,15,Веб-технологии,4,6,False,туман,2,"[1, 2]",24,61
Четверг,11,Русский язык,3,16,False,туман,2,"[1, 4]",63,87
Вторник,3,Основы информационных технологий,4,35,False,солнечно,3,"[1, 3, 5]",25,53
Вторник,14,Безопасность операционных систем и сетей,5,30,False,пасмурно,5,"[1, 2, 3, 4, 5]",21,48
Четверг,9,Безопасность сетей,5,-1,False,пасмурно,5,"[1, 2, 3, 4, 5]",34,66
Суббота,6,Физика,4,31,False,солнечно,3,"[2, 3, 5]",20,40
Пятница,9,Обществознание,2,22,False,ветер,2,"[1, 4]",63,71
Пятница,12,Криптография,5,34,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Суббота,5,Сетевые операционные системы,4,8,False,пасмурно,1,[4],21,39
Пятница,3,Основы туризма и гостеприимства,3,9,True,снег,5,"[1, 2, 3, 4, 5]",49,58
Вторник,15,Веб-технологии,4,26,False,солнечно,4,"[1, 3, 4, 5]",21,67
Среда,10,Информационная безопасность,5,11,False,пасмурно,3,"[2, 3, 4]",21,53
Четверг,16,Основы туризма и гостеприимства,3,6,False,пасмурно,3,"[2, 3, 5]",47,79
Четверг,16,Конфигурирование и администрирование сетей,5,19,False,ветер,4,"[1, 2, 4, 5]",20,45
Среда,15,Основы программирования,5,32,False,ветер,3,"[1, 2, 4]",20,40
Суббота,7,Литература,3,19,True,град,2,"[3, 5]",46,61
Среда,10,Веб-технологии,4,10,True,дождь,5,"[1, 2, 3, 4, 5]",22,47
Понедельник,11,Криптография,5,-2,False,туман,4,"[1, 2, 3, 4]",26,70
Вторник,5,Проектно-исследовательская деятельность,4,29,False,солнечно,5,"[1, 2, 3, 4, 5]",35,69
Пятница,14,Геометрия,4,12,True,град,3,"[1, 2, 4]",20,30
Понедельник,12,Прикладное программирование,5,26,False,пасмурно,4,"[1, 3, 4, 5]",29,68
Суббота,10,Физика,4,-2,True,дождь,1,[3],20,30
Понедельник,13,Веб-технологии,4,-3,True,дождь,5,"[1, 2, 3, 4, 5]",20,30
Понедельник,15,Информатика,5,15,True,град,4,"[1, 3, 4, 5]",20,49
Четверг,8,Математика,5,17,False,ветер,5,"[1, 2, 3, 4, 5]",22,49
Вторник,14,Операционные системы,4,17,True,град,4,"[1, 2, 4, 5]",20,30
Четверг,3,Русский язык,3,33,False,пасмурно,2,"[1, 3]",42,64
Понедельник,13,Криптография,5,9,False,туман,3,"[1, 3, 4]",27,61
